id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.4 I:1							
156904		[                  ]                  	?	?	?	?	
# KTU 1.4 I:2							
156905	y	[                   ]y	?	?	?	?	
# KTU 1.4 I:3							
156906		[                  ]                  	?	?	?	?	
# KTU 1.4 I:4							
156907	any	[any  ]  	(ʔ&any[/	/ʔ-n-y/	vb G act. ptcpl. m. sg. abs. nom.	to sigh	The relative clause 'who cries aloud'; DULAT: ảny G inf./ptcpl.
156908	l	[l ] 	l(III)	l (III)	functor	certainly	l yṣḥ 'does cry out' (asseverative l).
156909	yṣḥ	[yṣ]ḥ    	!y!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 m. sg.	to exclaim	
156910	ṯr	ṯr	ṯr(I)/	ṯr (I)	n. m. sg. cstr. acc.	bull	Addressee of yṣḥ: 'he cries to Bull El his father' (// 1.3 V:35).
# KTU 1.4 I:5							
156911	il	[il ] 	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
156912	abh	[abh  ]  	ab/+h	ảb	n. m. sg. cstr. acc. + 3 m. sg. suff.	father	'his father'.
156913	il	[i]l  	il(I)/	ỉl (I)	DN m. sg. abs. acc.	ʾIlu/Ilu/El	il mlk 'El the king'.
156914	mlk	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. acc.	king	
# KTU 1.4 I:6							
156915	d	[d ] 	d	d	det. or rel. functor	the one(s) of	d yknnh 'who created him'.
156916	yknnh	[yknnh  ]  	!y!knn[:l+h	/k-n/	vb L prefc. 3 m. sg. + 3 m. sg. suff.	to establish	Pôlel/L of /k-n/; 'who formed him'.
156917	yṣḥ	[yṣ]ḥ    	!y!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 m. sg.	to exclaim	
156918	aṯ	aṯ	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. acc.	Asherah	MERGE WITH THE NEXT: aṯ+rt = aṯrt, split I:6/7; addressee of yṣḥ.
# KTU 1.4 I:7							
156919	rt	[rt  ]  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. acc.	Asherah	MERGE WITH THE PREVIOUS.
156920	w	[w ] 	w	w	conj.	and	
156921	bnh	[bnh  ]  	bn(I)/+h	bn (I)	n. m. pl. cstr. acc. + 3 f. sg. suff.	son	'and her sons'.
156922		 	?	?	?	?	
156923	ilt	i{.}lt	il(t(I)/t	ỉlt (I)	n. f. sg. abs. nom.	goddess	
# KTU 1.4 I:8							
156924	w	[w ] 	w	w	conj.	and	
156925	ṣbrt	[ṣbrt  ]  	ṣbr(t/t	ṣbrt	n. f. sg. cstr. acc.	clan	ṣbrt aryh 'the assembly of her kin'.
156926	aryh	[ary]h	ary(I)/+h	ảry (I)	n. m. pl. cstr. gen. + 3 f. sg. suff.	fellow	
# KTU 1.4 I:9							
156927	wn	[wn  ]  	w~n	w	conj. + encl. -n	and	DULAT: wn 'and, but'; w + emphatic -n.
156928	in	[in  ]  	in	ỉn	n. m. sg. abs. nom.	lack of	in bt 'there is no house'.
156928	in	[in  ]  	in	ỉn	neg. existential functor	there is not	DULAT ỉn n., functions as neg. existential particle (EUPT: Existenzpart. neg.).
156929	bt	[bt  ]  	bt(II)/	bt (II)	n. m. sg. abs. nom.	house	
156930	l	[l ] 	l(I)	l (I)	prep.	to	
156931	bˤl	[bʿl]	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	'no house for Baal'.
# KTU 1.4 I:10							
156932	km	[km  ]  	km	km	prep.	like	km ilm 'like the gods'.
156933	ilm	[ilm  ]  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
156934	w	[w ] 	w	w	conj.	and	
156935	ḥẓr	[ḥẓr]	ḥẓr/	ḥẓr	n. m. sg. abs. nom.	mansion	'and a court like the sons of Athirat'.
# KTU 1.4 I:11							
156936	k	[k ] 	k(I)	k (I)	prep.	like	
156937	bn	[bn  ]  	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	k bn aṯrt 'like the sons of Athirat'.
156938	aṯrt	aṯr[t]	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
# KTU 1.4 I:12							
156939	mṯb	m[ṯ]b    	mṯb/	mṯb	n. m. sg. cstr. nom.	1) residence	mṯb il 'the dwelling of El'.
156940	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
156941	mẓll	mẓll	mẓll/	mẓll	n. m. sg. cstr. nom.	shelter	
# KTU 1.4 I:13							
156942	bnh	bnh  	bn(I)/+h	bn (I)	n. m. pl. cstr. nom.	4) special uses b) pl. cstr./suff. bn “sons of” > family	mẓll bnh 'the shelter of his sons'.
156943	mṯb	mṯb  	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	mṯb rbt aṯrt ym 'the dwelling of Lady Athirat of the Sea'.
156944	rbt	rbt	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
# KTU 1.4 I:14							
156945	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
156946	ym	ym  	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	rbt aṯrt ym 'Lady Athirat of the Sea'.
156947	mṯb	mṯb	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
# KTU 1.4 I:15							
156948	klt	klt  	kl(t(I)/t=	klt (I)	n. f. pl. cstr. gen.	1) bride	klt knyt 'the honoured brides' (the daughters).
156949	knyt	knyt	kny(t/t=	knyt	adj. f. pl. abs. gen.	glorious	
156949	knyt	knyt	kny[/t=	?	vb G pass. ptcpl. f. pl. abs. gen.	?	Tania: G passive participle 'honored/purchased'; DULAT reads adj. knyt 'glorious'.
# KTU 1.4 I:16							
156950	mṯb	mṯb  	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
156951	pdry	pdry  	pdry/	pdry	DN f. sg. abs. gen.	Pidray	
156952	bt	b<t>  	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	Split bt + ar 'daughter of Light' (cf. 1.5 V:10 pdry bt ar). | Migrated from legacy reviewed tokenization.
156953	ar	ar	ar/	ả/ỉr	n. m. sg. abs. gen.	light	Split bt + ar 'daughter of Light' (cf. 1.5 V:10 pdry bt ar). | Migrated from legacy reviewed tokenization.
# KTU 1.4 I:17							
