reference	current_ids	current_surfaces	current_sign_span	expected_words	evidence
KTU 1.2 III:22	155359	nhrmlkt	nhr . mlkt	nhr | mlkt	Both legacy words have independent reviewed analyses: nhr/ and mlk[t=.
KTU 1.3 V:9	156588	adnbn	adn . bn	adn | bn	Both legacy words have independent reviewed nominal analyses.
KTU 1.3 VI:14	156827	brqmbn	brqm . bn	brqm | bn	Both legacy words have independent reviewed analyses: brq(I)/m and bn(II).
KTU 1.4 VI:15	157991	ḫsstṯb	ḫss . tṯb	ḫss | tṯb	Both legacy words have independent reviewed analyses: divine name ḫss and verb tṯb.
KTU 1.5 II:14	158797	bnilm	bn . ilm	bn | ilm	Both legacy words have independent reviewed analyses; reviewed comment identifies the phrase bn ilm mt.
KTU 1.5 II:18	158817	aliynqrdm	aliyn . qrdm	aliyn | qrdm	Both legacy words have independent reviewed analyses: adjective/title aliyn and plural noun qrdm.
KTU 1.5 II:22	158839;158840	yqr | unhd	yqr | un . hd	yqrun | hd	Legacy review treats yqr+un as one physically split verb yqrun and hd as a separate divine name.
KTU 1.6 V:7	159980	yrḫml	yrḫm . l	yrḫm | l	Both legacy words have independent reviewed analyses: yrḫ/m and l(III).
KTU 1.14 I:34	160631	yškbnhmmt	yškb . nhmmt	yškb | nhmmt	Both legacy words have independent reviewed analyses: verb yškb and noun nhmmt.
KTU 1.14 I:52	160679	kspw	ksp . w	ksp | w	Both legacy words have independent reviewed analyses: noun ksp and conjunction w.
KTU 1.14 II:3	160692	bnamt	bn . amt	bn | amt	Both legacy words have independent reviewed analyses; comment explicitly translates bn amt as 'the son of a slave-woman'.
KTU 1.14 II:17	160741	msrrˤṣr	msrr . ʿṣr	msrr | ˤṣr	Both legacy words have independent reviewed analyses; comment identifies the phrase msrr ˤṣr dbḥ.
KTU 1.14 II:23	160768	dbḥl	dbḥ . l	dbḥ | l	Both legacy words have independent reviewed analyses: imperative dbḥ and preposition l.
